Area,Consumer_profile,Product_category,Product_type,AC_1001_Issue,AC_1002_Issue,AC_1003_Issue,TV_2001_Issue,TV_2002_Issue,TV_2003_Issue,Claim_Value,Service_Centre,Product_Age,Purchased_from,Call_details,Purpose,Fraud,ID
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,40000.0,10.0,14.0,Manufacturer,1.5,Claim,1,7512.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,,13.0,176.0,Internet,30.0,Complaint,0,3882.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,0.0,0.0,5000.0,15.0,323.0,Dealer,8.0,Complaint,0,4950.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15.0,7.0,Manufacturer,0.5,Claim,0,3135.0
Urban,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,10.0,300.0,Manufacturer,14.0,Complaint,0,1107.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,2.0,50000.0,13.0,18.0,Manufacturer,0.5,Claim,0,9392.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,12.0,18.0,Dealer,1.4,Claim,0,5633.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,25000.0,15.0,21.0,Dealer,2.4,Complaint,0,8520.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,12.0,10.0,Manufacturer,1.6,Claim,0,566.0
Rural,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,12000.0,15.0,21.0,Internet,1.0,Complaint,0,8756.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,170.0,11.0,371.0,Dealer,30.0,Other,0,5553.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,13.0,3.0,Manufacturer,6.5,Claim,0,8899.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,1.0,9000.0,10.0,160.0,Manufacturer,19.0,Claim,0,2072.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,4.0,Manufacturer,1.3,Claim,0,5883.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,13.0,18.0,Dealer,1.5,Complaint,0,8581.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,10.0,6.0,Manufacturer,1.5,Claim,0,2656.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,50000.0,12.0,19.0,Manufacturer,1.3,Claim,0,6991.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,20000.0,14.0,21.0,Manufacturer,1.4,Claim,0,7425.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,15.0,61.0,Dealer,20.0,Complaint,0,4529.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,5.0,Manufacturer,1.5,Other,0,9343.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,171.0,Manufacturer,4.0,Claim,0,14001.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,12000.0,14.0,3.0,Internet,1.4,Complaint,0,4817.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,21000.0,13.0,4.0,Internet,2.5,Complaint,0,9457.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,12000.0,15.0,10.0,Internet,1.4,Complaint,0,7467.0
Rural,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,7153.0,14.0,444.0,Dealer,30.0,Other,0,3770.0
Urban,Personal,Household,AC,0.0,1.0,2.0,0.0,0.0,0.0,18000.0,14.0,10.0,Dealer,1.4,Claim,0,9630.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15.0,7.0,Manufacturer,0.5,Claim,0,8981.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,5033.0,11.0,284.0,Dealer,30.0,Claim,0,3018.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,14.0,60.0,Dealer,1.4,Complaint,0,9941.0
Rural,Personal,Household,AC,1.0,0.0,1.0,0.0,0.0,0.0,3129.0,14.0,94.0,Dealer,19.0,Other,0,3354.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,4000.0,10.0,153.0,Internet,22.0,Claim,0,21991.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,13.0,9.0,Internet,2.6,Complaint,0,4221.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,12.0,3.0,Dealer,1.5,Complaint,0,54711.0
Urban,Personal,Household,AC,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,15.0,349.0,Internet,21.0,Complaint,0,530.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,13.0,60.0,Dealer,1.3,Complaint,0,80511.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,340.0,Manufacturer,10.0,Claim,0,1282.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,281.0,Internet,19.0,Complaint,0,1014.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,6767.0,12.0,338.0,Internet,7.0,Other,0,9740.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,13.0,14.0,Manufacturer,1.6,Claim,1,3239.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,1.0,4000.0,15.0,26.0,Manufacturer,23.0,Complaint,0,5919.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,12.0,3.0,Dealer,1.5,Complaint,0,2847.0
Urban,Business,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,15.0,315.0,Dealer,3.0,Claim,0,8949.0
Rural,Business,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,5316.0,12.0,872.0,Manufacturer,30.0,Claim,0,147.0
Urban,Personal,Household,AC,2.0,2.0,1.0,0.0,0.0,0.0,12000.0,15.0,233.0,Manufacturer,21.0,Claim,0,6908.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,13.0,21.0,Dealer,6.5,Other,0,8410.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,2.0,25000.0,15.0,6.0,Dealer,1.3,Claim,0,5134.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,,13.0,176.0,Internet,30.0,Complaint,0,9845.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,13.0,3.0,Manufacturer,6.5,Claim,0,62081.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,5.0,Internet,1.0,Complaint,0,6037.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,14.0,12.0,Internet,2.5,Claim,0,8275.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,288.0,Dealer,18.0,Claim,0,8799.0
Urban,Personal,Household,AC,0.0,1.0,2.0,0.0,0.0,0.0,18000.0,14.0,10.0,Dealer,1.4,Claim,0,9258.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,10.0,3.0,Manufacturer,1.6,Claim,0,6001.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,2.0,1.0,3149.0,14.0,820.0,Dealer,28.0,Claim,0,2923.0
Urban,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,2000.0,12.0,61.0,Dealer,24.0,Claim,0,2432.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,2856.0,11.0,625.0,Internet,8.0,Other,0,4411.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,6767.0,12.0,338.0,Internet,7.0,Other,0,7351.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,0.0,2000.0,12.0,365.0,Internet,5.0,Complaint,0,7979.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4216.0,10.0,672.0,Dealer,25.0,Other,0,1365.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,,10.0,574.0,Manufacturer,30.0,Claim,0,1228.0
Urban,Personal,Household,AC,1.0,2.0,0.0,0.0,0.0,0.0,7000.0,15.0,68.0,Manufacturer,9.0,Complaint,0,76991.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,14.0,9.0,Dealer,2.5,Complaint,0,2321.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,10.0,3.0,Manufacturer,1.6,Claim,0,1320.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,13.0,3.0,Manufacturer,0.5,Complaint,0,9540.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,213.0,Manufacturer,2.0,Complaint,0,5644.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,12.0,3.0,Dealer,1.5,Complaint,0,896.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,13.0,60.0,Dealer,1.3,Complaint,0,4998.0
Rural,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,20000.0,14.0,6.0,Manufacturer,1.0,Claim,0,5712.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,,10.0,574.0,Manufacturer,30.0,Claim,0,94031.0
Urban,Personal,Household,AC,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,15.0,303.0,Internet,7.0,Complaint,0,8992.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,12.0,4.0,Manufacturer,2.6,Claim,0,8643.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,10000.0,13.0,19.0,Dealer,1.0,Claim,0,32.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,13.0,16.0,Manufacturer,2.5,Other,1,5556.0
Rural,Business,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,20000.0,12.0,10.0,Dealer,1.0,Complaint,0,829.0
Urban,Personal,Household,AC,0.0,2.0,1.0,0.0,0.0,0.0,5584.0,11.0,111.0,Dealer,4.0,Other,0,2230.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,7000.0,12.0,280.0,Internet,19.0,Claim,0,8378.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,12.0,4.0,Dealer,2.6,Claim,0,9826.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,15.0,61.0,Dealer,20.0,Complaint,0,3084.0
Rural,Personal,Household,AC,2.0,1.0,2.0,0.0,0.0,0.0,10000.0,15.0,12.0,Dealer,6.5,Claim,0,1876.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,170.0,11.0,371.0,Dealer,30.0,Other,0,529.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,50000.0,12.0,19.0,Manufacturer,1.3,Claim,0,9269.0
Urban,Personal,Household,AC,2.0,1.0,0.0,0.0,0.0,0.0,25000.0,15.0,21.0,Dealer,2.4,Complaint,0,9296.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,20000.0,14.0,21.0,Dealer,1.4,Claim,0,4336.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,2.0,0.0,0.0,5000.0,14.0,197.0,Internet,13.0,Complaint,0,40731.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,4000.0,15.0,79.0,Dealer,7.0,Claim,0,6520.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,21000.0,13.0,4.0,Internet,2.5,Complaint,0,23301.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,10.0,18.0,Dealer,1.6,Complaint,0,1589.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,2.0,50000.0,13.0,18.0,Manufacturer,0.5,Claim,0,578.0
Rural,Personal,Household,AC,1.0,1.0,2.0,0.0,0.0,0.0,4674.0,12.0,727.0,Manufacturer,30.0,Complaint,0,9903.0
Urban,Personal,Household,AC,0.0,1.0,2.0,0.0,0.0,0.0,18000.0,14.0,10.0,Dealer,1.4,Claim,0,96301.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,,11.0,408.0,Dealer,30.0,Claim,0,39831.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,7000.0,15.0,287.0,Dealer,1.0,Claim,0,8470.0
Urban,Personal,Household,AC,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,12.0,311.0,Dealer,4.0,Claim,0,45021.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,2.0,1.0,5557.0,13.0,153.0,Internet,30.0,Complaint,0,62021.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,10000.0,14.0,15.0,Dealer,2.6,Claim,0,1245.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,288.0,Dealer,18.0,Claim,0,4380.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,2.0,10000.0,12.0,14.0,Dealer,6.5,Other,0,7670.0
Rural,Business,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,20000.0,12.0,10.0,Dealer,1.0,Complaint,0,8374.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,12.0,16.0,Dealer,2.6,Other,0,2168.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,12000.0,15.0,10.0,Internet,1.4,Complaint,0,7230.0
Urban,Personal,Household,AC,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,12.0,311.0,Dealer,4.0,Claim,0,2612.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,13.0,60.0,Dealer,1.3,Complaint,0,91981.0
Rural,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,5821.0,13.0,951.0,Manufacturer,30.0,Complaint,0,97571.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,10.0,3.0,Manufacturer,1.6,Claim,0,87751.0
Urban,Personal,Household,AC,0.0,0.0,1.0,0.0,0.0,0.0,12000.0,14.0,12.0,Internet,2.5,Claim,0,1981.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,12.0,3.0,Dealer,1.5,Complaint,0,1446.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,5.0,Manufacturer,1.5,Other,0,1148.0
Rural,Personal,Household,AC,0.0,1.0,2.0,0.0,0.0,0.0,4024.0,12.0,721.0,Dealer,30.0,Complaint,0,3349.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,10000.0,13.0,19.0,Dealer,1.0,Claim,0,1022.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,15.0,Manufacturer,0.5,Claim,0,2831.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,13.0,15.0,Internet,1.0,Claim,0,6916.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,12000.0,14.0,3.0,Internet,1.4,Complaint,0,8278.0
Urban,Personal,Household,AC,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,15.0,349.0,Internet,21.0,Complaint,0,6388.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,13.0,21.0,Dealer,6.5,Other,0,1513.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,10000.0,14.0,15.0,Dealer,2.6,Claim,0,9488.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,2515.0,10.0,748.0,Manufacturer,30.0,Other,0,2378.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,10.0,3.0,Manufacturer,1.6,Claim,0,5316.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,15.0,7.0,Dealer,2.5,Claim,0,5014.0
Urban,Business,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,15.0,224.0,Manufacturer,23.0,Complaint,0,8139.0
Urban,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,10.0,212.0,Dealer,4.0,Complaint,0,1711.0
Urban,Personal,Household,AC,1.0,1.0,2.0,0.0,0.0,0.0,6542.0,13.0,271.0,Dealer,4.0,Claim,0,749.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4216.0,10.0,672.0,Dealer,25.0,Other,0,8607.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,2.0,0.0,4097.0,13.0,23.0,Internet,30.0,Other,0,6598.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,0.0,0.0,5000.0,15.0,254.0,Dealer,9.0,Claim,0,7299.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,2.0,15000.0,12.0,15.0,Manufacturer,1.3,Complaint,0,6379.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,14.0,9.0,Dealer,2.5,Complaint,0,2051.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,288.0,Dealer,18.0,Claim,0,2172.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,10000.0,13.0,19.0,Dealer,1.0,Claim,0,7907.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,13.0,9.0,Internet,2.6,Complaint,0,3820.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,2538.0,12.0,73.0,Dealer,30.0,Claim,0,2616.0
Urban,Personal,Household,AC,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,12.0,311.0,Dealer,4.0,Claim,0,9082.0
Urban,Business,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,15.0,315.0,Dealer,3.0,Claim,0,5335.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,15000.0,15.0,12.0,Manufacturer,1.6,Complaint,0,6777.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,2.0,1.0,6022.0,11.0,112.0,Manufacturer,14.0,Claim,0,83691.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,10.0,4.0,Dealer,0.5,Complaint,0,5327.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,2515.0,10.0,748.0,Manufacturer,30.0,Other,0,57831.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,2515.0,10.0,748.0,Manufacturer,30.0,Other,0,6751.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,15000.0,12.0,4.0,Manufacturer,1.6,Complaint,0,3169.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,4000.0,15.0,80.0,Manufacturer,12.0,Complaint,0,6136.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,14.0,331.0,Manufacturer,24.0,Complaint,0,1658.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,15.0,61.0,Dealer,20.0,Complaint,0,7877.0
Urban,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,2000.0,12.0,61.0,Dealer,24.0,Claim,0,4016.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,4000.0,15.0,80.0,Manufacturer,12.0,Complaint,0,5418.0
Urban,Business,Household,AC,1.0,2.0,0.0,0.0,0.0,0.0,15000.0,12.0,9.0,Dealer,0.5,Complaint,1,2003.0
Urban,Personal,Household,AC,0.0,2.0,1.0,0.0,0.0,0.0,5584.0,11.0,111.0,Dealer,4.0,Other,0,8100.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,20000.0,14.0,21.0,Dealer,1.4,Claim,0,40751.0
Urban,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,15.0,52.0,Dealer,6.0,Complaint,0,218.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,12000.0,15.0,10.0,Internet,1.4,Complaint,0,1947.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,,15.0,363.0,Dealer,30.0,Other,0,77851.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,7000.0,12.0,32.0,Manufacturer,14.0,Claim,0,7182.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,2.0,25000.0,15.0,10.0,Dealer,1.5,Complaint,0,4207.0
Rural,Personal,Household,AC,2.0,0.0,1.0,0.0,0.0,0.0,5652.0,10.0,758.0,Dealer,30.0,Claim,0,166.0
Urban,Business,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,12000.0,12.0,60.0,Internet,2.6,Complaint,0,4893.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,15000.0,12.0,4.0,Manufacturer,1.6,Complaint,0,7232.0
Urban,Personal,Household,AC,1.0,1.0,2.0,0.0,0.0,0.0,6993.0,15.0,505.0,Manufacturer,7.0,Complaint,1,8202.0
Urban,Personal,Household,AC,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,12.0,311.0,Dealer,4.0,Claim,0,92361.0
Urban,Personal,Household,AC,0.0,2.0,0.0,0.0,0.0,0.0,4832.0,14.0,481.0,Internet,30.0,Complaint,0,6532.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,12000.0,14.0,16.0,Internet,6.5,Complaint,0,2269.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,12.0,4.0,Manufacturer,2.6,Claim,0,6110.0
Rural,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,6449.0,11.0,826.0,Manufacturer,30.0,Claim,0,6347.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,15.0,6.0,Dealer,1.3,Complaint,0,4603.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,,10.0,574.0,Manufacturer,30.0,Claim,0,1804.0
Rural,Personal,Household,AC,1.0,1.0,2.0,0.0,0.0,0.0,970.0,14.0,6.0,Internet,30.0,Claim,0,8858.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,213.0,Manufacturer,2.0,Complaint,0,4117.0
Rural,Business,Household,AC,0.0,0.0,1.0,0.0,0.0,0.0,5418.0,14.0,914.0,Internet,30.0,Claim,0,9441.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,4000.0,12.0,347.0,Internet,6.0,Claim,0,3075.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,50000.0,10.0,14.0,Manufacturer,1.5,Claim,0,1826.0
Rural,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,6449.0,11.0,826.0,Manufacturer,30.0,Claim,0,6677.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,12000.0,15.0,10.0,Internet,1.4,Complaint,0,6119.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,7369.0,11.0,833.0,Dealer,30.0,Claim,0,9340.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,1656.0,14.0,827.0,Internet,30.0,Claim,0,5487.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,12.0,18.0,Dealer,1.4,Claim,0,9240.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,15.0,45.0,Internet,24.0,Claim,0,6339.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,15000.0,12.0,4.0,Manufacturer,1.6,Complaint,0,8895.0
Rural,Personal,Household,AC,2.0,0.0,1.0,0.0,0.0,0.0,5652.0,10.0,758.0,Dealer,30.0,Claim,0,3527.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,15.0,4.0,Manufacturer,2.6,Claim,1,8094.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,10.0,81.0,Internet,21.0,Claim,0,696.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,1.0,5770.0,14.0,108.0,Internet,30.0,Claim,0,72771.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,5033.0,11.0,284.0,Dealer,30.0,Claim,0,45591.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,3589.0,13.0,22.0,Manufacturer,30.0,Complaint,0,2152.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,12.0,3.0,Dealer,1.5,Complaint,0,867.0
Urban,Personal,Household,AC,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,15.0,349.0,Internet,21.0,Complaint,0,53181.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,13.0,12.0,Manufacturer,2.6,Claim,0,88091.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,10.0,18.0,Dealer,1.0,Complaint,0,9244.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,332.0,Manufacturer,20.0,Complaint,1,9239.0
Urban,Personal,Household,AC,0.0,1.0,2.0,0.0,0.0,0.0,18000.0,14.0,10.0,Dealer,1.4,Claim,0,5149.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,2961.0,12.0,547.0,Internet,30.0,Other,0,9573.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,13.0,18.0,Dealer,1.5,Complaint,0,420.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,10000.0,14.0,15.0,Dealer,2.6,Claim,0,48581.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,5.0,Internet,1.0,Complaint,0,96031.0
